Date,DateValue,Open,High,Low,Close,Adj Close,Volume
2010-09-08,40429,432.0,441.450012,429.450012,439.524994,360.095337,4189478.0
2010-09-09,40430,441.0,441.25,435.674988,437.350006,358.313354,2938158.0
2010-09-13,40434,435.674988,444.5,435.350006,439.875,360.38208,2349410.0
2010-09-14,40435,441.5,449.5,440.149994,447.674988,366.77243,3071038.0
2010-09-15,40436,450.0,459.700012,449.5,457.399994,374.739868,5560394.0
2010-09-16,40437,454.0,456.725006,432.25,447.700012,366.792938,2334264.0
2010-09-17,40438,450.049988,459.375,450.049988,456.899994,374.330261,3007978.0
2010-09-20,40441,458.5,460.950012,453.350006,456.125,373.695374,2419108.0
2010-09-21,40442,456.0,479.0,455.149994,476.975006,390.777557,4997184.0
2010-09-22,40443,478.0,480.0,465.0,467.625,383.117157,4031066.0
2010-09-23,40444,470.0,472.649994,463.899994,465.674988,381.519531,3327236.0
2010-09-24,40445,466.549988,468.950012,462.5,465.975006,381.76532,2738784.0
2010-09-27,40448,467.5,470.725006,461.0,463.799988,379.983429,3423290.0
2010-09-28,40449,462.625,465.149994,457.049988,459.825012,376.726776,2521714.0
2010-09-29,40450,462.5,468.625,457.450012,460.174988,377.013489,3370194.0
2010-09-30,40451,462.5,465.0,457.575012,463.475006,379.717194,7560924.0
2010-10-01,40452,463.5,483.0,461.0,480.799988,393.911255,3326156.0
2010-10-04,40455,483.375,487.5,476.5,477.899994,391.53537,2140956.0
2010-10-05,40456,475.0,482.975006,473.075012,475.125,389.261749,2211664.0
2010-10-06,40457,475.0,483.950012,475.0,479.825012,393.112396,1838960.0
2010-10-07,40458,480.0,483.0,469.200012,474.399994,388.667755,1972940.0
2010-10-08,40459,472.024994,477.350006,434.5,471.299988,386.128052,2695996.0
2010-10-11,40462,471.299988,476.975006,464.524994,470.450012,385.431641,3065370.0
2010-10-12,40463,471.325012,477.899994,469.549988,475.350006,389.446106,2608902.0
2010-10-13,40464,477.975006,498.850006,474.549988,496.424988,406.712494,5350604.0
2010-10-14,40465,498.450012,502.0,491.174988,493.024994,403.926819,2949086.0
2010-10-15,40466,499.5,505.5,472.5,475.149994,389.282196,5717798.0
